Sw,fw,dfw_dSw,case
0.8076000000000001,0.9755453156470301,0.326518206337596,waterflood
0.808,0.9756756756756757,0.32528361053914523,waterflood
0.8084,0.9758055425354614,0.32405235803662436,waterflood
0.8088,0.9759349175621049,0.32282444083284645,waterflood
0.8092000000000001,0.9760638020881277,0.3215998509433575,waterflood
0.8096000000000001,0.9761921974428595,0.32037858039439016,waterflood
0.81,0.9763201049524434,0.3191606212269562,waterflood
0.8104,0.976447525939841,0.31794596549138987,waterflood
0.8108,0.9765744617248363,0.31673460525144037,waterflood
0.8112000000000001,0.9767009136240421,0.31552653258358987,waterflood
0.8116000000000001,0.9768268829509031,0.3143217395756892,waterflood
0.812,0.9769523710157025,0.31312021832832215,waterflood
0.8124,0.9770773791255658,0.3119219609550328,waterflood
0.8128,0.9772019085844665,0.3107269595807338,waterflood
0.8132000000000001,0.9773259606932305,0.30953520634398046,waterflood
0.8136000000000001,0.9774495367495416,0.30834669339401444,waterflood
0.8140000000000001,0.9775726380479457,0.30716141289417465,waterflood
0.8144,0.9776952658798568,0.3059793570196234,waterflood
0.8148,0.9778174215335614,0.30480051795871077,waterflood
0.8152000000000001,0.9779391062942239,0.3036248879118375,waterflood
0.8156000000000001,0.9780603214438909,0.3024524590916826,waterflood
0.8160000000000001,0.9781810682614973,0.3012832237247949,waterflood
0.8164,0.9783013480228706,0.3001171740490918,waterflood
0.8168,0.9784211620007366,0.29895430231636055,waterflood
0.8172000000000001,0.9785405114647238,0.2977946007904393,waterflood
0.8176000000000001,0.9786593976813689,0.296638061747899,waterflood
0.8180000000000001,0.9787778219141221,0.29548467747872564,waterflood
0.8184,0.9788957854233519,0.29433444028563827,waterflood
0.8188,0.9790132894663505,0.29318734248295186,waterflood
0.8192000000000002,0.9791303352973384,0.2920433764002155,waterflood
0.8196000000000001,0.9792469241674706,0.2909025343781195,waterflood
0.8200000000000001,0.9793630573248407,0.28976480877031463,waterflood
0.8204,0.979478736014487,0.288630191944776,waterflood
0.8208,0.9795939614783966,0.2874986762815297,waterflood
0.8211999999999999,0.979708734955512,0.28637025417287987,waterflood
0.8216000000000001,0.979823057681735,0.28524491802636476,waterflood
0.8220000000000001,0.979936930889933,0.28412266026020916,waterflood
0.8224,0.9800503558099433,0.28300347330741715,waterflood
0.8228,0.9801633336685789,0.281887349613271,waterflood
0.8231999999999999,0.9802758656896339,0.2807742816366954,waterflood
0.8236000000000001,0.9803879530938884,0.27966426184980264,waterflood
0.8240000000000001,0.9804995970991137,0.27855728273675595,waterflood
0.8244,0.9806107989200779,0.27745333679649775,waterflood
